classification,corner_near_white,edge_near_white,edge_strict_white,edge_transparent,file_path,has_alpha,height,image_id,is_main,overall_near_white,product_id,sort_order,width
clean_white,1.0,1.0,1.0,0.0,p_6a1e39466162b.jpg,False,540,1901,0,0.75032,1171,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39475eabe.jpg,False,540,1902,1,0.79576,1172,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e39475f1b3.jpg,False,540,1903,0,0.63782,1172,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39475f76f.jpg,False,540,1904,0,0.75032,1172,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39480f637.jpg,False,540,1905,1,0.79576,1173,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e39480fc1d.jpg,False,540,1906,0,0.63782,1173,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3948102d3.jpg,False,540,1907,0,0.75032,1173,6,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394a16502.jpg,False,540,1908,1,0.74552,1174,1,540
clean_white,1.0,0.99794,0.99735,0.0,p_6a1e394a16ab2.jpg,False,540,1909,0,0.84941,1174,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394a1706a.jpg,False,540,1910,0,0.8673,1174,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394abae64.jpg,False,540,1911,1,0.79576,1175,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394abb4ea.jpg,False,540,1912,0,0.63782,1175,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394abbb63.jpg,False,540,1913,0,0.75032,1175,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394b669ab.jpg,False,540,1914,1,0.79576,1176,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394b66ff6.jpg,False,540,1915,0,0.63782,1176,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394b6752e.jpg,False,540,1916,0,0.75032,1176,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394c14572.jpg,False,540,1917,1,0.79576,1177,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394c14a4d.jpg,False,540,1918,0,0.63782,1177,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394c14f94.jpg,False,540,1919,0,0.75032,1177,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394cb44f6.jpg,False,540,1920,1,0.79576,1178,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394cb4ae8.jpg,False,540,1921,0,0.63782,1178,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394cb5094.jpg,False,540,1922,0,0.75032,1178,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394d6584a.jpg,False,540,1923,1,0.79576,1179,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394d662dc.jpg,False,540,1924,0,0.63782,1179,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394d66a1a.jpg,False,540,1925,0,0.75032,1179,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394e127e1.jpg,False,540,1926,1,0.79576,1180,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394e12e1a.jpg,False,540,1927,0,0.63782,1180,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394e13381.jpg,False,540,1928,0,0.75032,1180,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e394eb57de.jpg,False,540,1929,1,0.79576,1181,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e394eb5d45.jpg,False,540,1930,0,0.63782,1181,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e394eb6342.jpg,False,540,1931,0,0.75032,1181,6,540
clean_white,1.0,0.93963,0.8411,0.0,p_6a1e39511828f.jpg,False,540,1932,1,0.52419,1182,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39511884c.jpg,False,540,1933,0,0.85587,1182,3,540
clean_white,1.0,0.99629,0.9961,0.0,p_6a1e395118de5.jpg,False,540,1934,0,0.72911,1182,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e3951b8ee5.jpg,False,540,1935,1,0.79576,1183,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e3951b9547.jpg,False,540,1936,0,0.63782,1183,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3951b9b35.jpg,False,540,1937,0,0.75032,1183,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e3952ab898.jpg,False,540,1938,1,0.79576,1184,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e3952abe7b.jpg,False,540,1939,0,0.63782,1184,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3952ac406.jpg,False,540,1940,0,0.75032,1184,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39539f04d.jpg,False,540,1941,1,0.79576,1185,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e39539f746.jpg,False,540,1942,0,0.63782,1185,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39539fc36.jpg,False,540,1943,0,0.75032,1185,6,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39556d333.jpg,False,540,1944,1,0.72975,1186,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39556d9c8.jpg,False,540,1945,0,0.66215,1186,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39556df43.jpg,False,540,1946,0,0.87059,1186,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39566d666.jpg,False,540,1947,1,0.79576,1187,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e39566de67.jpg,False,540,1948,0,0.63782,1187,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39566e3db.jpg,False,540,1949,0,0.75032,1187,6,540
clean_white,1.0,0.95191,0.87562,0.0,p_6a1e3958ab16c.jpg,False,540,1950,1,0.44338,1188,1,540
clean_white,1.0,0.99941,0.99926,0.0,p_6a1e3958ab7eb.jpg,False,540,1951,0,0.67498,1188,3,540
clean_white,1.0,0.98893,0.98798,0.0,p_6a1e3958abdd2.jpg,False,540,1952,0,0.63248,1188,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e395957c72.jpg,False,540,1953,1,0.79576,1189,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e3959582e2.jpg,False,540,1954,0,0.63782,1189,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3959588c0.jpg,False,540,1955,0,0.75032,1189,6,540
clean_white,1.0,0.97776,0.91493,0.0,p_6a1e395bcb33f.jpg,False,540,1956,1,0.49465,1190,1,540
clean_white,1.0,0.96974,0.96599,0.0,p_6a1e395bcbb6c.jpg,False,540,1957,0,0.59405,1190,3,540
clean_white,1.0,0.9886,0.98783,0.0,p_6a1e395bcc25a.jpg,False,540,1958,0,0.62467,1190,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e395ca486e.jpg,False,540,1959,1,0.79576,1191,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e395ca4e54.jpg,False,540,1960,0,0.63782,1191,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e395ca5456.jpg,False,540,1961,0,0.75032,1191,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e395d83e58.jpg,False,540,1962,1,0.79576,1192,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e395d844e5.jpg,False,540,1963,0,0.63782,1192,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e395d8494c.jpg,False,540,1964,0,0.75032,1192,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e395e34e9a.jpg,False,540,1965,1,0.79576,1193,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e395e35501.jpg,False,540,1966,0,0.63782,1193,3,540
